date,ticker,action,shares,price,trade_value,cash_after
2025-08-08,NVDA,OPEN_LONG,34.55488027378477,434.0920842773062,15000.000000000002,85000.0
2025-08-15,NVDA,CLOSE,-34.55488027378477,437.6630863818287,-15123.395550179212,100123.39555017921
2025-10-03,NVDA,OPEN_LONG,37.2571793705781,403.10376647532695,15018.509332526883,85104.88621765233
2025-10-10,META,OPEN_LONG,81.250410229586,555.1426368016598,45105.56697606893,39999.3192415834
2025-10-10,NVDA,ADD,73.81610132790813,406.0883651983788,29975.859913568092,10023.459328015306
2025-10-17,META,TRIM,-53.599803477273284,551.3655762223241,-29553.086529650114,39576.54585766542
2025-10-17,NVDA,TRIM,-74.9016965897366,421.47981904939553,-31569.55352513491,71146.09938280033
2025-10-24,META,CLOSE,-27.65060675231271,547.6660719404593,-15143.299186809445,86289.39856960977
2025-10-24,NVDA,ADD,0.7994931517101524,410.3113148075704,328.041086257841,85961.35748335192
2025-10-31,NVDA,TRIM,-0.7638035725508179,420.53247497024495,-321.2042067559105,86282.56169010783
2025-11-07,NVDA,TRIM,-1.2144531862531234,437.8087647435068,-531.698249312296,86814.25993942012
2025-11-14,NVDA,ADD,0.14720666890238612,435.652659379561,64.13097678573104,86750.1289626344
2025-11-21,NVDA,ADD,0.4330227724232097,429.4270888948615,185.95170858688107,86564.1772540475
2025-11-28,NVDA,TRIM,-0.027673644284867138,429.8204699320866,-11.894698791254996,86576.07195283876
2025-12-05,META,OPEN_LONG,27.426763299536088,557.0022869927594,15276.769882650682,71299.30207018807
2025-12-05,NVDA,ADD,0.017946711013869757,429.5653102630319,7.709284484873934,71291.5927857032
2025-12-05,SNOW,OPEN_LONG,75.67735560200433,201.86712076718067,15276.769882650684,56014.82290305251
2025-12-12,META,TRIM,-0.4979951097325008,570.4125183978634,-284.0626446923361,56298.885547744845
2025-12-12,NVDA,ADD,0.4344944509432094,426.7066051236992,185.40165210706255,56113.48389563778
2025-12-12,SNOW,TRIM,-1.0128623923013773,205.72705740272778,-208.37319952204965,56321.85709515983
2025-12-19,META,ADD,0.6830883112192754,553.3593047084922,377.9932729507964,55943.86382220904
2025-12-19,NVDA,TRIM,-0.37521862391299243,428.9209157687237,-160.93911578224106,56104.80293799128
2025-12-19,SNOW,CLOSE,-74.66449320970295,203.55717172284247,-15198.49306588651,71303.29600387778
2025-12-26,META,CLOSE,-27.611856501022864,524.7001974550143,-14487.946558186217,85791.242562064
2025-12-26,NVDA,TRIM,-1.257143197853787,443.4104197496047,-557.4303930457081,86348.67295510971
2025-12-26,SNOW,OPEN_LONG,73.14689266611961,208.32055271683774,15238.001109725243,71110.67184538447
2026-01-02,META,OPEN_LONG,27.729585229086535,543.9616077084187,15083.829762301531,56026.842083082935
2026-01-02,MSFT,OPEN_LONG,32.42945233355496,465.1274898865374,15083.829762301531,40943.0123207814
2026-01-02,NVDA,ADD,0.2542142195979811,435.70114400165704,110.76142630032882,40832.250894481076
2026-01-02,SNOW,CLOSE,-73.14689266611961,197.8911799670909,-14475.124900624556,55307.37579510563
2026-01-09,META,CLOSE,-27.729585229086535,522.3753898245287,-14485.252893716572,69792.62868882221
2026-01-09,MSFT,TRIM,-0.5063368244661856,471.1871505266317,-238.57940552692526,70031.20809434913
2026-01-09,NVDA,TRIM,-0.37266679338461056,439.21395995051404,-163.68045806451482,70194.88855241364
2026-01-16,MSFT,TRIM,-0.5193008643632054,476.28032200333735,-247.3327828955189,70442.22133530916
2026-01-16,NVDA,ADD,1.5379084267039234,417.9699858849345,642.7995634017607,69799.42177190741
2026-01-23,CRWD,OPEN_LONG,40.32956926752166,372.5752327757067,15025.79865759087,54773.623114316535
2026-01-23,MSFT,ADD,0.15427224602758963,476.1314812778965,73.45387302118434,54700.16924129535
2026-01-23,NVDA,TRIM,-0.9153234867599866,430.91414373514436,-394.4258365378464,55094.5950778332
2026-01-30,CRWD,TRIM,-1.0068025231654407,383.9582844582582,-386.5701695828484,55481.165247416044
2026-01-30,MSFT,ADD,0.4410751327848652,471.83429516714267,208.11437439330075,55273.050873022745
2026-01-30,NVDA,TRIM,-0.20066610529408227,435.49961267829616,-87.39001113323502,55360.44088415598
2026-02-06,CRWD,TRIM,-1.8794847562489603,405.6619299993257,-762.4354136242655,56122.87629778024
2026-02-06,META,OPEN_LONG,27.16274064205688,559.1966671171065,15189.31403680458,40933.56226097566
2026-02-06,MSFT,CLOSE,-31.999162023538023,478.31795593264883,-15305.77377065635,56239.33603163201
2026-02-06,NVDA,ADD,1.2906851910822155,422.39933263,545.1845633485518,55694.15146828346
2026-02-13,CRWD,ADD,0.8837617501961327,394.0576348582348,348.2530650604622,55345.898403223
2026-02-13,META,TRIM,-0.15675764471091133,559.248823051848,-87.66652830895691,55433.56493153196
2026-02-13,MSFT,OPEN_LONG,31.071313265750643,486.0774334656718,15103.064206623952,40330.50072490801
2026-02-13,NVDA,ADD,0.1330205680059535,418.45288598502907,55.662840577459065,40274.83788433055
2026-02-20,CRWD,CLOSE,-38.327043738303395,371.1229020104933,-14224.043697642262,54498.88158197281
2026-02-20,META,ADD,0.2364628197571275,549.8614270083334,130.02178350606846,54368.85979846674
2026-02-20,MSFT,TRIM,-0.754442584053095,494.10014277076283,-372.77018849297747,54741.62998695972
2026-02-20,NVDA,TRIM,-0.43669181949632446,420.1143450471829,-183.46049773516097,54925.09048469488
2026-02-27,META,TRIM,-0.07331553251356995,554.4287462669724,-40.64823877339404,54965.738723468276
2026-02-27,MSFT,TRIM,-1.126118550082941,516.0314736986469,-581.1126149586835,55546.85133842696
2026-02-27,NVDA,ADD,0.7605130271141302,413.64128875081394,314.5795886472715,55232.27174977969
2026-03-06,META,CLOSE,-27.16913028458953,529.9026680838223,-14396.99462732097,69629.26637710066
2026-03-06,MSFT,ADD,58.36467099447283,510.4817855101031,29794.101459968217,39835.164917132446
2026-03-06,NVDA,ADD,73.61484315734157,406.2067063506892,29902.84297746629,9932.321939666155
2026-03-13,MSFT,TRIM,-57.92193991736087,488.44582119313645,-28291.72950803484,38224.051447701
2026-03-13,NVDA,TRIM,-73.66757561812432,398.04377746278,-29322.920075563194,67546.97152326419
2026-03-20,MSFT,CLOSE,-29.633483208726574,487.41180203246176,-14443.709451264116,81990.68097452831
2026-03-20,NVDA,TRIM,-1.0725482227819765,412.198364645159,-442.10262343380236,82432.78359796212
2026-03-27,NVDA,ADD,0.008139472303612748,412.08654973238566,3.3541670582380902,82429.42943090388
2026-04-03,NVDA,CLOSE,-35.29930765519495,405.0445497440619,-14297.792175475557,96727.22160637943
